"red" "green" "blue" "tot_color" "size"
"1" 1280667.96862745 1347732.6 1177485.76862745 3805886.33725491 0
"2" 1281186.62745098 1348185.81960785 1177747.62352941 3807120.07058824 0
"3" 1280874.01568628 1347991.96470589 1177636.61960784 3806502.6 0
"4" 1281383.25882353 1348176.48235295 1178061.14117647 3807620.88235295 0
"5" 1280382.82745098 1348069.35294118 1176793.00392157 3805245.18431373 0
"6" 1281359.87843137 1348375.61176471 1177764.45490196 3807499.94509804 0
"7" 1280869.76078432 1348256.33725491 1177190.75294118 3806316.8509804 0
"8" 1281028.61568628 1348445.96078432 1177557.14901961 3807031.7254902 0
"9" 1280490.69803922 1348055.94117647 1177003.36078431 3805550.00000001 0
"10" 1281294.42745098 1348322.99607844 1177884.96470588 3807502.3882353 0
"11" 1280323.7254902 1348322.60392157 1176607.61960784 3805253.94901961 0
"12" 1281641.63529412 1348746.40784314 1178127.09411765 3808515.13725491 0
"13" 1281094.20784314 1348365.74901961 1177336.66666667 3806796.62352942 0
"14" 1281283.30980392 1348709.59215687 1177735.69803921 3807728.6 0
"15" 1280361.90588236 1348613.8 1176942.32156863 3805918.02745099 0
"16" 1281400.29803922 1349116.35294118 1178370.97254902 3808887.62352942 0
"17" 1279500.79607843 1348849.62352942 1177993 3806343.41960785 0
"18" 1280390.32156863 1349148.80784314 1179386.65098039 3808925.78039216 0
"19" 1279681.20784314 1348776.31372549 1178699.16862745 3807156.69019608 0
"20" 1280247.74117647 1349260.60392157 1179419.24313725 3808927.5882353 0
"21" 1279696.97647059 1348884.76078432 1178828.25098039 3807409.9882353 0
"22" 1280264.3372549 1349314.67450981 1179656.6745098 3809235.68627452 0
"23" 1279231.16078432 1349173.99215687 1178420.87843137 3806826.03137255 0
"24" 1280658.7882353 1349622.97254902 1180285.84705882 3810567.60784314 0
"25" 1280812.57647059 1349620.40392157 1180065.16862745 3810498.14901961 0
"26" 1282280.87058824 1350211.75686275 1181122.43137255 3813615.05882353 0
"27" 1282199.5372549 1349941.94509804 1180629.49803921 3812770.98039216 0
"28" 1282716.7882353 1349774.79607843 1181216.58823529 3813708.17254903 2794
"29" 1281516.76078432 1348890.1882353 1179967.21960784 3810374.16862746 37820
"30" 1281403.83137255 1348642.29411765 1179758.12941176 3809804.25490197 0
"31" 1279811.23529412 1348005.3882353 1177921.14509804 3805737.76862746 0
