"red" "green" "blue" "tot_color" "size"
"1" 370589.6627451 280396.29411765 205700.768627454 856686.725490204 30529
"2" 371120.568627453 280443.431372552 206132.266666669 857696.266666674 12291
"3" 371342.517647061 280404.831372552 206392.843137257 858140.19215687 12680
"4" 371263.223529414 280471.447058826 206439.803921571 858174.474509812 13467
"5" 371103.580392159 280398.184313728 206386.984313728 857888.749019616 13456
"6" 370981.023529414 280508.250980395 206055.619607846 857544.894117655 15209
"7" 370842.592156865 280451.552941179 206159.933333336 857454.07843138 14490
"8" 371030.411764708 280405.901960787 206349.003921571 857785.317647066 15656
"9" 370474.92156863 280356.392156865 205904.992156865 856736.30588236 17058
"10" 370509.615686277 280296.509803924 205822.458823532 856628.584313733 14411
"11" 370615.77647059 280338.666666669 205896.015686277 856850.458823537 0
"12" 370951.525490198 280290.733333336 206175.596078434 857417.854901968 11891
"13" 370225.003921571 280199.572549022 205675.745098042 856100.321568635 14353
"14" 370183.203921571 280351.811764708 205414.282352944 855949.298039223 14337
"15" 370687.937254904 280177.070588238 206187.388235297 857052.396078439 13480
"16" 370031.188235296 280350.811764708 205477.682352944 855859.682352949 13513
"17" 369785.482352943 280238.411764708 205330.274509807 855354.168627458 13103
"18" 370329.984313728 280304.956862748 205482.603921571 856117.545098047 12680
"19" 370475.580392159 280250.000000003 205675.050980395 856400.631372557 13574
"20" 370499.780392159 280337.231372552 205936.486274512 856773.498039223 13480
"21" 370021.098039218 280190.000000003 205564.662745101 855775.760784321 13480
"22" 370033.733333336 280114.070588238 205333.109803924 855480.913725498 14354
"23" 370266.678431375 280135.062745101 205715.203921571 856116.945098047 13480
"24" 370406.627450983 280234.564705885 205797.356862748 856438.549019615 14354
"25" 370087.729411767 279997.588235297 205448.333333336 855533.6509804 14351
"26" 370173.627450983 280231.776470591 205579.086274512 855984.490196086 13441
"27" 370220.74901961 280295.458823532 205758.600000003 856274.807843145 13574
"28" 370193.309803924 280412.670588238 205575.266666669 856181.247058831 13015
"29" 369758.674509806 280303.517647061 205284.725490199 855346.917647066 13513
"30" 370290.0627451 280252.890196081 205769.733333336 856312.686274517 14399
"31" 369920.282352943 280424.74901961 205216.282352944 855561.313725498 13480
"32" 370436.513725493 280266.462745101 205612.156862748 856315.133333341 13952
"33" 370169.6627451 280194.466666669 205461.443137257 855825.572549027 13584
"34" 369785.356862747 280282.188235297 205122.529411767 855190.074509811 11876
"35" 370374.854901963 280211.619607846 205948.270588238 856534.745098047 12697
"36" 370727.780392159 280342.227450983 206018.933333336 857088.941176478 13622
"37" 370021.607843139 280379.239215689 205600.647058826 856001.494117654 16109
"38" 370537.027450983 280289.992156865 205902.223529414 856729.243137262 15347
"39" 370329.647058826 280438.20784314 205977.454901963 856745.309803929 13954
"40" 370886.384313728 280440.043137257 206148.227450983 857474.654901968 13621
"41" 370261.8627451 280465.415686277 205776.411764708 856503.690196086 14416
"42" 370633.745098042 280461.301960787 206278.80784314 857373.854901968 13621
"43" 370262.952941179 280521.831372552 206207.941176473 856992.725490204 16150
"44" 370648.623529414 280607.560784316 205934.29411765 857190.47843138 11897
"45" 370144.560784316 280507.29411765 205377.54901961 856029.403921576 0
"46" 370149.623529414 280379.92156863 205277.733333336 855807.27843138 12681
"47" 370785.278431375 280349.509803924 205929.301960787 857064.090196086 14666
"48" 370850.160784316 280372.443137257 205983.80784314 857206.411764713 13597
"49" 370171.211764708 280210.301960787 205341.878431375 855723.39215687 14357
"50" 370279.270588238 280169.960784316 205628.129411767 856077.360784321 15188
"51" 370171.678431375 280227.313725493 205812.12156863 856211.113725498 15657
"52" 370121.403921571 280343.298039218 205331.709803924 855796.411764713 14344
"53" 369591.870588237 280296.733333336 205279.588235297 855168.19215687 16115
"54" 370192.117647061 280148.674509807 205794.290196081 856135.082352949 15347
"55" 369773.498039218 280203.741176473 205596.286274512 855573.525490203 0
"56" 370596.600000002 280276.286274513 206110.996078434 856983.882352949 16962
"57" 370204.211764708 280206.215686277 205867.125490199 856277.552941184 0
"58" 370209.666666669 280094.039215689 205693.070588238 855996.776470596 15216
"59" 369459.643137257 280128.756862748 205051.050980395 854639.4509804 15245
"60" 370171.086274512 280154.992156865 205732.478431375 856058.556862753 15698
"61" 369530.760784316 280218.439215689 204998.690196081 854747.890196086 16993
"62" 370068.250980395 280204.756862748 205876.09411765 856149.101960792 17052
"63" 369623.803921571 280121.478431375 205127.63529412 854872.917647066 16038
"64" 370217.372549022 280135.756862748 205725.937254905 856079.066666674 16105
"65" 369403.105882355 280147.878431375 205165.952941179 854716.937254909 15128
"66" 370056.52156863 280081.047058826 205550.462745101 855688.031372556 16993
"67" 369230.419607845 280050.898039218 204433.313725493 853714.631372556 0
"68" 370037.00784314 280094.764705885 205431.482352944 855563.254901968 16551
"69" 369592.203921571 279980.654901963 205380.501960787 854953.360784321 0
"70" 370091.8627451 279971.698039218 205509.968627454 855573.529411772 14377
"71" 369439.69411765 279909.176470591 205101.454901963 854450.325490204 0
"72" 369968.854901963 280009.415686277 205541.525490199 855519.796078439 13585
"73" 368741.03529412 279909.815686277 204240.243137258 852891.094117654 13480
"74" 369874.850980395 279867.082352944 205458.20784314 855200.141176478 15339
"75" 369640.450980394 279763.482352944 205349.258823532 854753.19215687 14380
"76" 369836.145098041 280047.203921571 205289.329411767 855172.67843138 13482
"77" 369460.592156865 279840.443137258 204856.050980395 854157.086274517 14862
"78" 370077.63529412 279991.227450983 205414.905882355 855483.768627459 15261
"79" 369504.662745101 279887.415686277 204911.505882356 854303.584313733 13199
"80" 370400.619607846 280019.086274513 205869.482352944 856289.188235302 15698
"81" 369833.917647061 279890.890196081 205258.050980395 854982.858823537 13861
"82" 370310.509803924 280015.478431375 205990.20784314 856316.196078439 13589
"83" 369950.996078434 280013.145098042 205545.129411767 855509.270588243 13574
"84" 370457.772549022 280120.752941179 205987.580392159 856566.10588236 12683
"85" 369840.227450983 280128.60784314 205649.839215689 855618.674509811 13589
"86" 370588.976470591 280195.576470591 206219.196078434 857003.749019615 12683
"87" 369924.917647061 280088.968627454 205520.984313728 855534.870588243 13136
"88" 370668.000000002 280249.298039218 206024.603921571 856941.901960792 13142
"89" 370161.0627451 279994.898039218 205913.925490199 856069.886274517 12683
"90" 370234.729411767 280263.458823532 205737.984313728 856236.172549027 12683
"91" 369134.192156865 280240.988235297 204960.874509806 854336.054901968 12775
"92" 370184.168627453 280387.780392159 205914.619607846 856486.568627459 12775
"93" 369605.396078434 280231.298039218 205283.815686277 855120.509803929 12697
"94" 370261.376470591 280389.329411767 205754.458823532 856405.16470589 13589
"95" 369732.423529414 280306.925490199 205169.427450983 855208.776470596 14329
"96" 370844.215686277 280413.062745101 205968.023529414 857225.301960792 13621
"97" 369973.815686277 280429.580392159 205354.411764708 855757.807843145 14377
"98" 370628.541176473 280333.160784316 206021.588235297 856983.290196086 11897
"99" 369647.454901963 280379.615686277 205008.03529412 855035.10588236 12665
"100" 370705.584313728 280448.619607846 205682.60784314 856836.811764713 12339
"101" 370366.141176473 280408.556862748 205445.23529412 856219.933333341 12296
"102" 370184.145098041 280373.250980395 205318.525490199 855875.921568635 11543
"103" 368890.274509806 280190.141176473 203976.698039218 853057.113725497 11135
"104" 370532.290196081 280393.960784316 205570.654901963 856496.90588236 11874
"105" 370502.380392159 280208.309803924 205521.768627454 856232.458823537 13136
"106" 369989.533333336 280355.462745101 205032.352941179 855377.349019615 11897
"107" 369295.301960787 280124.188235297 204549.047058826 853968.537254909 11949
"108" 370395.650980395 280440.874509806 205654.945098042 856491.470588243 12775
"109" 369970.901960787 280418.23529412 205263.105882355 855652.243137262 11891
"110" 370413.827450983 280310.09411765 205711.647058826 856435.568627458 12689
"111" 369633.427450982 280240.674509807 204922.945098042 854797.047058831 15128
"112" 370358.000000002 280305.988235297 205569.670588238 856233.658823537 13499
"113" 369869.898039218 280248.556862748 205464.337254905 855582.79215687 14383
"114" 370038.125490198 280247.705882356 205624.298039218 855910.129411772 13508
"115" 368638.83529412 280001.588235297 204543.192156865 853183.615686282 13500
"116" 370275.152941179 280157.239215689 205654.976470591 856087.368627459 13944
"117" 369763.792156865 280018.847058826 205411.72156863 855194.360784321 13508
"118" 369827.160784316 279950.266666669 205389.443137257 855166.870588243 12755
"119" 368629.552941179 279753.254901963 204301.796078434 852684.603921576 13063
"120" 369646.588235296 280067.627450983 205150.086274512 854864.301960792 15261
"121" 369384.227450983 279943.69411765 204780.239215689 854108.160784321 15271
"122" 369532.188235296 280067.317647061 205136.086274512 854735.59215687 14344
"123" 368704.658823531 279932.023529414 204329.937254905 852966.61960785 15697
"124" 369755.796078434 280061.478431375 205166.909803924 854984.184313733 11949
"125" 369579.133333336 279982.796078434 205060.682352944 854622.611764713 12303
"126" 369837.43529412 279887.423529414 205369.870588238 855094.729411772 13064
"127" 368488.027450983 279866.172549022 203986.576470591 852340.776470596 14344
"128" 369622.086274512 280090.129411767 205437.725490199 855149.941176478 12680
"129" 369386.34901961 280056.615686277 205268.643137257 854711.607843145 13064
"130" 369415.156862747 280010.627450983 205265.325490199 854691.109803929 12689
"131" 368989.788235296 279824.411764708 204767.188235297 853581.388235301 11888
"132" 369965.733333335 279966.764705885 205925.254901963 855857.752941184 13012
"133" 369365.282352943 279941.239215689 205394.654901963 854701.176470596 12680
"134" 369858.090196081 279895.94901961 205925.223529414 855679.262745105 14490
"135" 368728.541176473 279831.043137257 204747.141176473 853306.725490203 13585
"136" 369918.074509806 279965.545098042 205700.576470591 855584.196078439 13034
"137" 369458.811764708 280023.419607846 205295.278431375 854777.509803929 14344
"138" 369530.984313728 279982.725490199 205792.00784314 855305.717647066 13473
"139" 368483.866666669 279774.380392159 204426.60784314 852684.854901968 13457
"140" 370234.80784314 280272.698039218 205835.823529414 856343.329411772 13063
"141" 370147.564705885 280201.03529412 206099.211764708 856447.811764713 13473
"142" 370184.227450983 280211.40784314 205977.133333336 856372.768627458 12675
"143" 368843.901960786 280212.196078434 204906.156862748 853962.254901968 11524
"144" 369898.337254904 280489.83529412 205769.690196081 856157.862745106 12288
"145" 369397.17647059 280344.658823532 205404.670588238 855146.50588236 12656
"146" 369712.894117649 280219.454901963 205763.168627454 855695.517647066 13574
"147" 368948.070588237 280132.839215689 204756.031372552 853836.941176478 14490
"148" 369973.596078434 280086.674509807 205613.43529412 855673.70588236 15245
