"red" "green" "blue" "tot_color" "size"
"1" 951812.925490197 862279.08627451 809853.874509805 2623945.88627451 35735
"2" 953583.360784314 862835.105882353 812054.752941177 2628473.21960784 34992
"3" 953365.854901961 862953.101960785 812020.290196079 2628339.24705883 39597
"4" 953826.333333334 863270.45882353 811989.882352942 2629086.67450981 34415
"5" 952462.294117648 863317.647058824 811228.278431374 2627008.21960784 35052
"6" 954140.88627451 863664.729411765 813365.235294119 2631170.85098039 37788
"7" 953359.105882353 863387.035294118 813069.039215687 2629815.18039216 34994
"8" 953841.796078432 863750.027450981 812776.407843138 2630368.23137255 33827
"9" 952109.619607844 863525.678431373 811875.925490197 2627511.22352941 35642
"10" 953549.031372549 863267.94509804 813154.254901961 2629971.23137255 37724
"11" 952871.023529412 863215.803921569 812899.235294118 2628986.0627451 37755
"12" 953155.411764706 863323.733333334 812780.513725491 2629259.65882353 37755
"13" 951450.533333334 862903.349019608 810965.396078432 2625319.27843137 40580
"14" 953186.894117648 863029.8 812995.682352942 2629212.37647059 39909
"15" 952508.250980393 862943.494117647 812420.580392158 2627872.3254902 40264
"16" 952950.662745098 863190.019607843 812447.427450981 2628588.10980392 92367
"17" 951444.960784314 863086.921568628 811425.909803923 2625957.79215686 36313
"18" 953186.109803922 863374.596078432 813136.592156864 2629697.29803922 39556
"19" 952900.627450981 863212.152941177 813109.51764706 2629222.29803922 37034
"20" 953347.901960785 863577.37254902 813149.819607844 2630075.09411765 39166
"21" 951962.28627451 863388.541176471 811964.952941177 2627315.78039216 37765
"22" 953520.654901961 863533.364705883 813151.823529413 2630205.84313726 40694
"23" 953159.682352942 863444.090196079 813083.615686275 2629687.3882353 41703
"24" 953018.054901961 863036.505882354 812516.878431373 2628571.43921569 39125
"25" 950218.682352942 861943.482352942 809825.047058824 2621987.21176471 37724
"26" 951844.498039216 862031.498039216 811462.454901961 2625338.45098039 41048
"27" 952505.392156863 863010.070588236 812070.737254903 2627586.2 40592
"28" 953873.341176471 863713.027450981 812669.815686275 2630256.18431373 36313
"29" 952633.321568628 864114.047058824 812122.996078432 2628870.36470588 63013
"30" 954458.168627451 864636.752941177 813627.309803922 2632722.23137255 39061
"31" 954058.811764706 864802.356862746 813875.639215687 2632736.80784314 51946
"32" 954405.97254902 864903.043137255 813779.549019609 2633088.56470588 36374
"33" 953168.815686275 864990.615686275 813056.482352942 2631215.91372549 38927
"34" 955025.905882353 865249.682352942 814625.286274511 2634900.87450981 36385
"35" 955171.329411765 865387.533333334 814897.921568628 2635456.78431373 37755
"36" 956300.149019608 865682.443137255 814920.286274511 2636902.87843137 42771
"37" 955739.764705883 865502.756862746 812438.835294119 2633681.35686275 35616
"38" 959143.262745098 865889.321568628 814639.94509804 2639672.52941177 33704
"39" 959342.878431373 866222.964705883 814919.807843138 2640485.65098039 34282
"40" 959117 865038.992156863 814628.121568628 2638784.11372549 37804
"41" 955725.298039216 863578.349019608 811276.184313726 2630579.83137255 37134
"42" 955293.043137255 861882.098039216 810804.478431373 2627979.61960784 37114
"43" 954486.039215687 861137.376470589 810451.717647059 2626075.13333333 36380
"44" 952730.4 859018.670588236 808847.341176471 2620596.41176471 36391
"45" 948508.709803922 856989.188235295 803995.180392158 2609493.07843137 35052
"46" 947895.498039216 855275.792156863 803773.580392158 2606944.87058824 37105
"47" 945982.274509804 853702.498039216 802567.992156863 2602252.76470588 39109
"48" 943836.521568628 851941.282352941 800467.192156864 2596244.99607843 37765
"49" 940267.823529412 850406.980392157 798024.611764707 2588699.41568628 39131
"50" 940959.156862745 850611.043137255 798915.235294118 2590485.43529412 36397
"51" 941088.592156863 850580.960784314 800025.270588236 2591694.82352941 37674
"52" 942629.835294118 851305.466666667 801076.949019608 2595012.25098039 37764
"53" 943197.976470588 851881.662745098 802070.000000001 2597149.63921569 37674
"54" 944688.874509804 852381.11372549 803373.066666667 2600443.05490196 39111
"55" 943663.705882353 852318.525490196 802252.94509804 2598235.17647059 39040
"56" 945238.094117647 853099.341176471 803436.486274511 2601773.92156863 39108
"57" 944384.282352941 853100.278431372 802828.407843138 2600312.96862745 37709
"58" 945431.576470589 853149.250980392 803899.121568628 2602479.94901961 37674
"59" 944252.062745098 852882.811764706 803231.552941177 2600366.42745098 39175
"60" 945140.901960785 852851.309803921 804232.556862746 2602224.76862745 40553
"61" 944086.239215687 852732.725490196 803704.650980393 2600523.61568628 39175
"62" 945166.705882353 853164.945098039 804060.521568628 2602392.17254902 39175
"63" 944711.047058824 853158.431372549 804057.341176471 2601926.81960784 39175
"64" 945838.301960785 853225.717647059 804458.866666667 2603522.88627451 40626
"65" 944678.203921569 853411.68627451 803633.388235295 2601723.27843137 40580
"66" 945856.466666667 853525.541176471 804764.380392157 2604146.3882353 38402
"67" 944714.447058824 853279.031372549 803849.937254902 2601843.41568628 37779
"68" 946129.552941176 853642.325490196 805035.65882353 2604807.5372549 40553
"69" 944972.68627451 853445.078431373 804693.654901961 2603111.41960784 36374
"70" 946085.764705883 853465.047058824 804974.654901961 2604525.46666667 36397
"71" 945162.631372549 853401.407843137 804854.792156863 2603418.83137255 37674
"72" 945850.654901961 853510.482352941 805208.247058824 2604569.38431373 36379
"73" 944568.505882353 853133.023529412 804485.992156863 2602187.52156863 37134
"74" 945209.109803922 852859.258823529 805230.886274511 2603299.25490196 34966
"75" 943316.235294118 852404.705882353 804035.619607844 2599756.56078431 35676
"76" 943339.039215687 852252.435294118 805060.949019608 2600652.42352941 37134
"77" 942841.596078432 853690.356862745 805328.407843138 2601860.36078432 37755
"78" 946272.015686275 855699.494117648 808927.027450981 2610898.5372549 51182
"79" 947964.450980393 857035.141176471 810092.364705883 2615091.95686275 36397
"80" 951923.200000001 859509.474509804 813266.839215687 2624699.51372549 36379
"81" 950620.094117648 859705.909803922 812942.48627451 2623268.49019608 34992
"82" 950939.843137255 859464.54509804 813762.364705883 2624166.75294118 35740
"83" 949574.913725491 859370.454901961 812879.290196079 2621824.65882353 33765
"84" 950087.600000001 859224.905882353 813184.066666667 2622496.57254902 29388
"85" 948424.223529412 858471.376470589 812125.509803922 2619021.10980392 34966
"86" 949274.43137255 858532.431372549 812705.88627451 2620512.74901961 33704
"87" 948273.109803922 858326.196078432 812147.368627452 2618746.67450981 33699
"88" 949035.823529412 858207.501960785 812555.203921569 2619798.52941177 53098
"89" 947997.176470589 858282.364705883 811764.94509804 2618044.48627451 33015
"90" 949086.411764706 858555.015686275 812639.823529413 2620281.25098039 33765
"91" 948556.960784314 858826.784313726 812545.913725491 2619929.65882353 32379
"92" 949875.752941177 859355.803921569 813312.403921569 2622543.96078432 32362
"93" 949320.850980393 859595.376470589 813221.062745099 2622137.29019608 33761
"94" 950504.447058824 859773.243137255 814104.113725491 2624381.80392157 32375
"95" 949945.850980393 859989.411764706 813562.074509805 2623497.3372549 31191
"96" 950962.352941177 860280.690196079 813915.396078432 2625158.43921569 34943
"97" 949793.45882353 860100.752941177 812925.490196079 2622819.70196079 31888
"98" 951047.807843138 860362.466666667 814576.509803922 2625986.78431373 31719
"99" 950108.639215687 860251.701960785 813900.047058824 2624260.3882353 32482
"100" 950768.345098039 860390.823529412 813910.356862746 2625069.5254902 34285
"101" 949864.101960785 860330.913725491 813076.976470589 2623271.99215686 32489
"102" 950813.85882353 860409.874509804 813710.513725491 2624934.24705883 29199
"103" 949673.882352942 860138.839215687 813061.874509804 2622874.59607843 30538
"104" 950478.68627451 860287.57254902 813076.294117648 2623842.55294118 32560
"105" 949510.674509804 860055.94509804 812608.168627452 2622174.7882353 31221
"106" 950496.17254902 860210.203921569 813142.235294118 2623848.61176471 31198
"107" 949426.392156863 860006.592156863 812830.83137255 2622263.81568628 33765
"108" 950467.992156863 859949.764705883 814516.77254902 2624934.52941177 33792
"109" 949506.749019608 859775.592156863 813865.835294118 2623148.17647059 34340
"110" 950002.552941177 860137.666666667 813795.101960785 2623935.32156863 38114
"111" 948755.623529412 860026.882352942 812468.733333334 2621251.23921569 36391
"112" 950290.968627452 860014.341176471 814296.839215687 2624602.14901961 34974
"113" 949824.427450981 859891.490196079 814838.466666667 2624554.38431373 35004
"114" 950061.83137255 860038.596078432 814638.000000001 2624738.42745098 36391
"115" 948305.705882353 859426.482352942 813149.066666667 2620881.25490196 34999
"116" 950232.627450981 859927.807843138 814644.980392157 2624805.41568628 33105
"117" 950105.933333334 859866.349019608 814814.721568628 2624787.00392157 35068
"118" 950236.97254902 859886.890196079 814352.356862746 2624476.21960784 31091
"119" 948537.290196079 859585.643137255 812882.792156864 2621005.7254902 34446
