"red" "green" "blue" "tot_color" "size"
"1" 1276503.69411765 1398881.53725491 1076771.00392157 3752156.23529412 63035
"2" 1276593.47843137 1398847.98431373 1076845.97647059 3752287.43921569 59492
"3" 1283777.95294118 1403788.69411765 1084548.37254902 3772115.01960785 63012
"4" 1291574.84313726 1408075.1254902 1093584.60392157 3793234.57254903 59810
"5" 1296881.68235294 1412291.12156863 1098270.7254902 3807443.52941177 59559
"6" 1304411.76078432 1417739.4509804 1104385.16862745 3826536.38039216 58699
"7" 1312372.76862745 1422494.59215687 1111928.65490196 3846796.01568628 61226
"8" 1319424.73333333 1426909.41960785 1118675.02352941 3865009.1764706 58259
"9" 1322048.69019608 1428754.2627451 1121296.64705882 3872099.60000001 58457
"10" 1328280.22745098 1431280.36862746 1128896.9254902 3888457.52156863 62204
"11" 1332436.10196079 1433279.25490197 1134391.24313726 3900106.60000001 56126
"12" 1334072.44313726 1433534.74117648 1137324.76470588 3904931.94901962 56899
"13" 1333673.9254902 1431838.13725491 1138033.83529412 3903545.89803922 75653
"14" 1333710.89019608 1428857.50588236 1139371.93333334 3901940.32941177 61565
"15" 1333155.10980392 1426847.61568628 1139182.50588236 3899185.23137256 63315
"16" 1334298.14901961 1427669.91372549 1140244.63137255 3902212.69411766 73149
"17" 1334492.42352941 1426570.04705883 1140686.86666667 3901749.33725491 56899
"18" 1335153.89019608 1426777.56078432 1141561.3254902 3903492.7764706 73080
"19" 1337954.62745098 1426734.62745098 1144630.55294118 3909319.80784314 68383
"20" 1335041.47450981 1424428.40784314 1141389.87843138 3900859.76078432 65308
"21" 1331719.05882353 1420442.85098039 1137988.83137255 3890150.74117648 65033
"22" 1326849.56078432 1415890.3372549 1132470.87058824 3875210.76862746 62560
"23" 1326681.85490196 1414224.24705883 1131689.40784314 3872595.50980393 69956
"24" 1324434.44705883 1413076.54901961 1127643.4509804 3865154.44705883 71942
"25" 1327334.02352941 1414393.27450981 1130612.49803922 3872339.79607844 70681
"26" 1325599.55686275 1414004.89411765 1127101.61176471 3866706.0627451 73278
"27" 1326804.34901961 1414721.45882353 1127721.28627451 3869247.09411765 81927
"28" 1327362.92156863 1416123.18039216 1127537.41960785 3871023.52156863 56010
"29" 1328924.98039216 1417963.80392157 1127279.63921569 3874168.42352942 72731
"30" 1327843.07843137 1418955.37647059 1124720.16078432 3871518.61568628 60274
"31" 1329756.85882353 1421302.42352941 1126787.13333334 3877846.41568628 59488
"32" 1332972.43921569 1423971.04705882 1129499.76862745 3886443.25490197 62687
"33" 1333373.50196079 1425792.77254902 1128561.87843138 3887728.15294118 59630
"34" 1338355.09019608 1430822.39607843 1132850.5372549 3902028.02352942 72997
"35" 1345298.57254902 1436112.61960784 1139222.1254902 3920633.31764706 57005
"36" 1347216.03529412 1440390.81176471 1139944.81568628 3927551.6627451 64170
"37" 1357271.63529412 1446545.36862745 1151175.98431373 3954992.9882353 59525
"38" 1360495.67843137 1450851.43529412 1153477.4627451 3964824.57647059 69013
"39" 1363650.05882353 1454321.94509804 1156372.74901961 3974344.75294118 66658
"40" 1365831.57647059 1456843.55294118 1158410.29411765 3981085.42352942 64169
"41" 1370919.90588235 1459050.91372549 1165220.52156863 3995191.34117647 65449
"42" 1371357.45490196 1460239.4745098 1165605.55686275 3997202.48627451 69121
"43" 1375750.74901961 1462388.04705882 1171337.63137255 4009476.42745098 63202
"44" 1375970.44705882 1463301.87843137 1171218.63529412 4010490.96078432 63869
"45" 1377334.41176471 1463707.08235294 1173127.04313726 4014168.53725491 62803
"46" 1377377.23529412 1466025.71764706 1170418.21176471 4013821.16470589 61201
"47" 1378451.11764706 1466960.90980392 1170760.17647059 4016172.20392157 74345
"48" 1375490.07450981 1467291.5372549 1166081.94117647 4008863.55294118 67526
"49" 1379156.8627451 1469701.69803922 1170519.94901961 4019378.50980393 84176
"50" 1373724.36078431 1467035.12941177 1164703.58431373 4005463.07450981 71050
"51" 1366790.28235294 1464174.12941177 1156625.64313726 3987590.05490197 61167
"52" 1361892.27450981 1459686.88235294 1153588.70980392 3975167.86666667 73091
"53" 1352543.24705883 1450970.91372549 1146184.38039216 3949698.54117648 74972
"54" 1343088.61176471 1442881.83529412 1139999.32156863 3925969.76862746 74135
"55" 1336184.33333334 1435407.83137255 1136278.98431373 3907871.14901962 73139
"56" 1325968.77254902 1424606.54117647 1129598.46666667 3880173.78039217 72263
"57" 1313907.18431373 1412905.23921569 1120031.24313726 3846843.66666668 69800
"58" 1304827.48235294 1402962.36078432 1114212.99215687 3822002.83529413 71784
"59" 1293267.1882353 1391289.8 1104897.55294118 3789454.54117648 67935
"60" 1280076.17647059 1379974.27058824 1093295.7254902 3753346.17254903 70462
"61" 1269454.23137255 1370958.3137255 1085078.34509804 3725490.89019609 69000
"62" 1259362.97254902 1364135.74509805 1075091.54117647 3698590.25882354 72434
"63" 1247257.81960785 1356366.78431373 1061788.00392157 3665412.60784315 67867
"64" 1235771.68235294 1348204.63921569 1049443.47843137 3633419.80000001 68857
"65" 1224409.29019608 1339162.63529413 1038374.23137255 3601946.15686276 57048
"66" 1212293.84313726 1329505.54117648 1025187.21176471 3566986.59607844 56858
"67" 1205501.31372549 1322475.07058824 1015420.9254902 3543397.30980393 73514
"68" 1197313.86666667 1316801.66666667 1007078.49411765 3521194.02745099 72444
"69" 1188697.36862745 1312048.37254903 997263.121568628 3498008.86274511 77831
"70" 1181524.47450981 1306776.75686275 990379.074509804 3478680.30588236 55343
"71" 1172184.13333334 1300045.29411765 983783.28627451 3456012.7137255 54345
"72" 1162281.58039216 1293702.22745099 974439.274509804 3430423.08235295 54458
"73" 1151968.21960784 1284472.51764706 968081.964705882 3404522.70196079 52786
"74" 1140550.56470588 1274687.29019608 960838.686274509 3376076.54117648 52736
"75" 1137835.23529412 1274657.13725491 964641.043137254 3377133.41568628 50377
"76" 1138932.43921569 1275925.76078432 971905.937254901 3386764.13725491 53946
"77" 1137270.64705882 1276352.75294118 974426.698039215 3388050.09803922 54756
"78" 1134835.61960784 1276320.03921569 973920.701960783 3385076.36078432 51931
"79" 1131914.81176471 1273707.36078432 973817.490196078 3379439.6627451 55137
"80" 1126959.06666667 1268593.77254902 970083.352941176 3365636.19215687 53600
"81" 1118082.17647059 1263852.93725491 961285.42745098 3343220.54117647 49573
"82" 1116586.19215686 1261315.13333334 960312.149019607 3338213.47450981 56801
"83" 1111025.62745098 1258052.99607844 955047.447058823 3324126.07058824 52636
"84" 1105804.47843137 1254609.63529412 950451.231372549 3310865.34509804 53598
"85" 1102940.59215686 1251624.26666667 948163.698039216 3302728.55686275 60253
"86" 1099921.03137255 1248830.42352942 945684.137254903 3294435.59215687 64369
"87" 1093943.69019608 1245533.67843138 940081.188235295 3279558.55686275 65985
"88" 1094643.25882353 1244577.23921569 941529.368627452 3280749.86666667 66132
"89" 1090968.30588235 1242906.30980392 938650.698039217 3272525.31372549 54436
"90" 1090979.59215686 1242601.31372549 939810.552941177 3273391.45882353 58172
"91" 1087998.32941176 1240828.7882353 936779.372549021 3265606.49019608 62699
"92" 1085893.54117647 1238458.46666667 934327.015686276 3258679.02352942 67387
"93" 1081142.5372549 1233647.45882353 929683.227450982 3244473.22352942 56001
"94" 1080240.4 1229060.79215687 930544.062745099 3239845.25490197 58087
"95" 1072705.29411765 1221401.70196079 923657.168627452 3217764.16470589 61149
"96" 1066207.14117647 1214407.30196079 917789.380392158 3198403.82352942 75419
"97" 1064553.59215686 1209548.09803922 917315.247058825 3191416.93725491 68846
"98" 1061187.7372549 1203651.97647059 915349.023529413 3180188.73725491 73177
"99" 1057246.03137255 1198612 913087.019607845 3168945.0509804 78673
"100" 1056292.74509804 1194260.91372549 913947.098039217 3164500.75686275 75264
"101" 1054915.74509804 1190345.54117647 914666.149019609 3159927.43529412 70829
"102" 1051070.6 1185879.55686275 912531.501960786 3149481.65882353 72191
"103" 1050542.14901961 1182123.10196079 913476.509803923 3146141.76078432 70278
"104" 1048237.58431373 1179659.78431373 911029.356862747 3138926.7254902 70412
"105" 1045042.22745098 1176029.2 907801.23137255 3128872.65882353 76194
"106" 1043449.83137255 1171831.30196079 907838.780392158 3123119.91372549 73565
"107" 1044040.96078431 1169716.60392157 909742.937254903 3123500.50196079 71918
"108" 1044280.26666667 1168827.30196079 910456.584313727 3123564.15294118 78445
"109" 1047610.69019608 1168681.87843137 914165.584313727 3130458.15294118 79903
"110" 1052700.71372549 1169726.62745098 919499.854901962 3141927.19607843 72432
"111" 1052089.91372549 1168448.98039216 918999.400000001 3139538.29411765 72521
"112" 1056891.65882353 1169253.49019608 924890.23137255 3151035.38039216 64855
"113" 1060037.89803922 1169902.24313726 928574.850980393 3158514.99215687 66719
"114" 1060915.5254902 1170203.26666667 929755.533333334 3160874.3254902 66567
"115" 1064006.85098039 1170454.50980392 932865.894117648 3167327.25490197 71617
