"red" "green" "blue" "tot_color" "size"
"1" 1051786.17254902 978761.568627451 694227.525490197 2724775.26666667 0
"2" 1052668.69019608 979661.68627451 695655.047058825 2727985.42352941 0
"3" 1052898.01960784 979762.082352941 694801.670588236 2727461.77254902 13442
"4" 1053713.81176471 980454.407843137 696614.050980393 2730782.27058824 0
"5" 1052616.63529412 980473.788235294 695276.333333334 2728366.75686275 0
"6" 1052890.54901961 980613.631372549 695894.866666668 2729399.04705883 12656
"7" 1053807.83529412 980904.411764706 696836.678431374 2731548.9254902 12775
"8" 1054194.4 981059.682352941 697569.007843138 2732823.09019608 11134
"9" 1053258.17254902 980911.803921569 695349.541176472 2729519.51764706 0
"10" 1054018.06666667 981263.97254902 696807.811764707 2732089.85098039 0
"11" 1054218.4 981239.760784314 696256.258823531 2731714.41960785 0
"12" 1053823.5372549 981191.749019608 696477.921568629 2731493.20784314 0
"13" 1052956.67843137 981119.376470588 694908.619607844 2728984.67450981 12010
"14" 1053721.18431373 981017.219607843 696535.674509805 2731274.07843137 11217
"15" 1053743.45882353 980991.517647059 696173.49019608 2730908.46666667 0
"16" 1054301.08627451 981300.384313726 696416.43137255 2732017.90196079 0
"17" 1053346.05882353 981946.745098039 694882.909803923 2730175.71372549 0
"18" 1054462.62745098 981974.48627451 695609.627450982 2732046.74117647 11194
"19" 1055493.01176471 982515.898039216 695991.701960785 2734000.61176471 0
"20" 1056036.04705882 982517.176470588 697258.968627452 2735812.19215686 0
"21" 1055206.70980392 982615.623529412 694982.584313727 2732804.91764706 0
"22" 1056305.21176471 982915.282352941 697022.796078432 2736243.29019608 0
"23" 1056470.79607843 983171.592156863 696451.176470589 2736093.56470588 0
"24" 1056867.78431373 983498.627450981 697161.69019608 2737528.10196079 0
"25" 1055907.50588235 983672.11372549 695689.619607844 2735269.23921569 0
"26" 1056705.18823529 983911.670588235 697124.713725491 2737741.57254902 0
"27" 1056633.38431373 984101.949019608 696568.039215688 2737303.37254902 0
"28" 1057398.24705882 984390.866666667 697713.572549021 2739502.68627451 0
"29" 1056537.28235294 984166.580392157 695634.415686276 2736338.27843137 0
"30" 1057049.32941177 984022.784313726 695750.419607844 2736822.53333334 0
"31" 1056829.10196078 984013.678431373 695066.576470589 2735909.35686275 0
"32" 1057202.02745098 984243.156862745 695449.309803923 2736894.49411765 0
"33" 1056100.30196078 984144.356862745 693255.278431373 2733499.9372549 0
"34" 1057311.87843137 984330.262745098 695286.713725491 2736928.85490196 0
"35" 1057501.95294118 984431.976470588 695031.619607844 2736965.54901961 0
"36" 1058119.0745098 984565.619607843 696120.854901962 2738805.54901961 0
"37" 1057354.25490196 984853.921568627 695370.360784315 2737578.5372549 0
"38" 1058393.32941176 984930.850980392 696596.729411766 2739920.90980392 0
"39" 1058422.4627451 985258.51372549 695394.839215688 2739075.81568628 0
"40" 1058896.01960784 985452.482352941 696556.40392157 2740904.90588235 0
"41" 1057991.87843137 985383.105882353 694525.592156864 2737900.57647059 0
"42" 1058953.97254902 985755.247058824 694927.250980393 2739636.47058824 49614
"43" 1059105.51372549 986087.525490196 695131.901960785 2740324.94117647 15139
"44" 1059599.24705882 986256.960784314 695832.011764707 2741688.21960784 0
"45" 1058648.72156863 986257.490196078 693603.498039217 2738509.70980392 16042
"46" 1059548.92941177 986559.192156863 695719.780392158 2741827.90196079 15653
"47" 1059799.97254902 986965.764705883 695841.505882354 2742607.24313726 33704
"48" 1060247.15294118 986857.917647059 695950.525490197 2743055.59607843 19917
"49" 1059580.58823529 987166.933333333 694079.635294118 2740827.15686275 18461
"50" 1060566.12941177 987090.937254902 695880.639215687 2743537.70588235 15260
"51" 1060469.51764706 986982.988235294 695488.729411765 2742941.23529412 60900
"52" 1060841.90980392 987433.31372549 696122.670588236 2744397.89411765 19928
"53" 1059759.4627451 987271.564705882 695216.564705883 2742247.59215686 17052
"54" 1060607.35294118 987245.768627451 695386.517647059 2743239.63921569 17929
"55" 1061013.50588235 987478.588235294 695821.254901962 2744313.34901961 52702
"56" 1061464.99215686 987389.862745098 696429.980392158 2745284.83529412 20866
"57" 1059988.71764706 987386.831372549 693865.850980393 2741241.4 56354
"58" 1061121.05882353 987578.180392157 695653.654901962 2744352.89411765 59451
"59" 1061566.63529412 987591.156862745 695884.396078432 2745042.1882353 16558
"60" 1061576.72156863 987608.17254902 695792.619607844 2744977.51372549 26423
"61" 1060343.70196078 987571.796078432 692715.133333334 2740630.63137255 21430
"62" 1061177.18039216 987729.631372549 694792.443137255 2743699.25490196 52084
"63" 1060615.78823529 987415.101960784 693695.4 2741726.29019608 23063
"64" 1061334.27058824 987734.149019608 695682.411764707 2744750.83137255 28005
"65" 1060549.92941177 987821.156862745 693732.705882354 2742103.79215686 71595
"66" 1061070.6745098 987778.921568627 694378.83137255 2743228.42745098 74530
"67" 1061268.00784314 987880.050980392 694744.674509805 2743892.73333333 19944
"68" 1061524.58039216 988132.607843137 695845.470588236 2745502.65882353 0
"69" 1060374.90196078 987924.870588235 694082.156862746 2742381.92941177 0
"70" 1061466.97647059 988261.317647059 695879.960784315 2745608.25490196 17960
"71" 1061743.80392157 988268.035294118 695917.760784315 2745929.6 32590
"72" 1061741.1254902 988367.835294118 696208.160784315 2746317.12156863 22947
"73" 1060702.44705882 988175.74117647 695352.556862746 2744230.74509804 32214
"74" 1061781.37254902 988608.588235294 696589.866666668 2746979.82745098 36654
"75" 1061397.02745098 988768.564705882 694861.784313726 2745027.37647059 33120
"76" 1061720.16470588 988930.470588235 696031.047058824 2746681.68235294 31370
"77" 1060834.4627451 988833.384313726 694523.647058824 2744191.49411765 94981
"78" 1061543.80784314 988694.701960784 695465.647058825 2745704.15686275 21945
"79" 1062510.83921569 988991.862745098 697066.666666668 2748569.36862745 17971
"80" 1062500.21960784 989132.901960784 697494.113725491 2749127.23529412 21936
"81" 1061142.70196078 988521.847058824 695910.223529413 2745574.77254902 19907
"82" 1061738.83137255 988776.341176471 697271.549019609 2747786.72156863 50854
"83" 1062148.24313726 988982.992156863 697346.611764707 2748477.84705883 49833
"84" 1061991.10196078 988842.419607843 696820.047058824 2747653.56862745 67958
"85" 1060753.02352941 988483.090196078 695473.556862746 2744709.67058824 42688
"86" 1061690.07843137 988500.321568627 697461.89019608 2747652.29019608 45720
"87" 1061432.52156863 988406.807843137 696186.184313727 2746025.51372549 52455
"88" 1061562.61568628 988682.003921569 697048.274509805 2747292.89411765 18938
"89" 1060471.33333333 988288.666666667 696079.956862746 2744839.95686275 20913
"90" 1061183.36470588 988192.905882353 696385.780392158 2745762.05098039 16083
"91" 1061456.00784314 988231.858823529 695942.019607844 2745629.88627451 20913
"92" 1061377.57647059 988366.870588235 697020.800000001 2746765.24705882 17960
"93" 1060246.64313726 987948.439215686 695005.125490197 2743200.20784314 15209
"94" 1061348.51764706 988380.439215687 696583.023529413 2746311.98039216 44536
"95" 1061723.30980392 988706.650980392 695724.360784314 2746154.32156863 18495
"96" 1062067.74509804 988552.964705882 696705.039215687 2747325.74901961 46348
"97" 1061012.8 988383.980392157 695328.494117648 2744725.27450981 49664
"98" 1061495.03529412 988541.411764706 695876.200000001 2745912.64705883 17895
"99" 1061788.70196078 988608.407843137 695767.043137256 2746164.15294118 27052
"100" 1062230.79607843 988736.423529412 696793.078431373 2747760.29803922 20954
"101" 1060849.00784314 988443.266666667 695090.113725491 2744382.3882353 43065
"102" 1061344.68235294 988321.329411765 696055.078431373 2745721.09019608 19969
"103" 1062072.37254902 988445.882352941 696329.572549021 2746847.82745098 21936
"104" 1062024.6 988350.596078431 697059.870588236 2747435.06666667 51687
"105" 1060487.3254902 988112.333333333 694388.560784314 2742988.21960784 22060
"106" 1061366.53333333 988077.109803922 696351.403921569 2745795.04705882 18931
"107" 1061321.35686275 988278.129411765 695832.788235295 2745432.27450981 21033
"108" 1061386.37647059 988029.878431373 695572.71764706 2744988.97254902 46412
"109" 1060392.47843137 988008.560784314 695060.823529413 2743461.8627451 28210
"110" 1061004.8627451 987825.870588235 696212.313725491 2745043.04705882 29865
"111" 1060978.98039216 987855.039215686 695521.015686275 2744355.03529412 46878
"112" 1061585.05490196 987837.498039216 696923.788235295 2746346.34117647 50833
"113" 1059905.89411765 987340.545098039 694766.698039216 2742013.1372549 15708
"114" 1060148.09019608 986820.588235294 694254.40392157 2741223.08235294 16951
"115" 1060112.67843137 986660.549019608 694643.972549021 2741417.2 0
"116" 1060305.20392157 986640.564705882 695078.427450981 2742024.19607843 19917
"117" 1058881.64705882 986252.239215686 692599.878431373 2737733.76470588 0
"118" 1059878.08627451 986375.419607843 694346.60392157 2740600.10980392 31795
"119" 1060037.89411765 986312.639215686 694190.364705884 2740540.89803922 0
"120" 1059968.94901961 986289.88627451 694556.000000001 2740814.83529412 29850
"121" 1058622.89803922 985905.71372549 692350.113725491 2736878.7254902 29773
"122" 1059241.29411765 986069.062745098 694166.854901962 2739477.21176471 32433
"123" 1059349.04313726 985869.125490196 693416.870588237 2738635.03921569 32492
"124" 1059904.08627451 986275.231372549 695295.133333334 2741474.45098039 30537
"125" 1058567.54509804 985942.168627451 693304.341176471 2737814.05490196 31719
"126" 1059086.87058824 986024.396078432 693881.027450982 2738992.29411765 56368
"127" 1059646.41176471 986449.31372549 695065.572549021 2741161.29803922 0
"128" 1059974.81176471 986366.992156863 696207.537254903 2742549.34117647 31091
"129" 1058556.48235294 986185.274509804 693969.737254903 2738711.49411765 32492
"130" 1059552.46666667 986381.607843137 696439.549019609 2742373.62352941 31757
"131" 1059826.37647059 986577.070588235 696559.721568629 2742963.16862745 49140
"132" 1060080.89803922 986557.725490196 696645.658823531 2743284.28235294 48048
"133" 1058958.80392157 986405.988235294 695564.729411766 2740929.52156863 32379
"134" 1059224.24313726 986581.796078431 696978.572549021 2742784.61176471 37779
"135" 1058766.81176471 986610.698039216 694930.282352942 2740307.79215686 0
"136" 1059585.64313726 986654.439215686 696272.819607844 2742512.90196079 49252
"137" 1057928.99607843 986587.039215686 694538.909803922 2739054.94509804 34994
"138" 1058800.38039216 986191.215686275 695595.31764706 2740586.91372549 31708
"139" 1059150.11372549 986529.474509804 695720.729411766 2741400.31764706 59350
"140" 1059503.7372549 986433.360784314 696842.713725491 2742779.81176471 44800
"141" 1058509.77647059 986013.603921569 695144.882352942 2739668.2627451 18916
"142" 1059382.52941177 986249.498039216 696955.807843138 2742587.83529412 45417
"143" 1059297.94901961 986239.070588235 695863.925490197 2741400.94509804 33427
"144" 1059424.21568627 986001.058823529 696655.007843138 2742080.28235294 30537
"145" 1058228.45490196 985734.674509804 694876.54509804 2738839.67450981 50662
"146" 1059022.14901961 985924.592156863 695948.63137255 2740895.37254902 43397
"147" 1059224.58039216 986308.960784314 695118.992156864 2740652.53333333 44124
"148" 1059942.47058824 986587.333333333 696663.752941177 2743193.55686275 31249
"149" 1058607.64705882 986615.439215686 694409.113725491 2739632.2 31156
"150" 1059274.70196078 986697.117647059 694770.392156864 2740742.21176471 29941
"151" 1059949.74901961 987187.749019608 694959.454901962 2742096.95294118 28802
"152" 1060412.1372549 987885.839215686 695578.482352942 2743876.45882353 12675
"153" 1059074.55294118 987692.854901961 693794.333333334 2740561.74117647 44524
"154" 1060862.18431373 988416.447058823 696529.439215687 2745808.07058824 71828
"155" 1062004.52156863 989544.91372549 697141.749019609 2748691.18431373 52734
"156" 1062736.22352941 989996.101960784 698158.101960785 2750890.42745098 89857
"157" 1061598.76470588 989928.992156863 696571.615686275 2748099.37254902 51182
"158" 1062267.68627451 989807.694117647 697977.368627452 2750052.74901961 29982
"159" 1061620.91764706 988979.482352941 696716.254901962 2747316.65490196 0
"160" 1060294.53333333 987548.501960784 697258.541176472 2745101.57647059 32379
"161" 1057836.21568627 985775.254901961 695060.698039217 2738672.16862745 26377
"162" 1057072.3372549 984729.741176471 694561.392156864 2736363.47058824 22968
"163" 1057243.50980392 984861.650980392 694432.309803922 2736537.47058824 28685
"164" 1057962.08627451 985323.843137255 695397.070588236 2738683 26974
"165" 1056826 985138.835294118 693795.807843138 2735760.64313726 26417
"166" 1058031.56470588 985669.180392157 695611.996078432 2739312.74117647 24662
"167" 1058705.51372549 986498.874509804 696003.380392158 2741207.76862745 33699
"168" 1058710.04313726 986170.792156863 696798.023529413 2741678.85882353 29356
"169" 1057315.91372549 986045.376470588 695692.392156864 2739053.68235294 38922
"170" 1058046.36470588 985954.305882353 697354.666666668 2741355.3372549 30430
"171" 1058221.61176471 986329.964705883 696574.847058824 2741126.42352941 33738
"172" 1059189.23529412 986598.098039216 698277.603921569 2744064.9372549 29391
"173" 1057721.82745098 986585.82745098 696394.886274511 2740702.54117647 37855
"174" 1058543.56470588 986805.870588236 697795.454901962 2743144.89019608 31775
"175" 1059456.29803922 987411.184313726 698070.63137255 2744938.11372549 0
"176" 1059981.39215686 987645.776470588 698826.878431373 2746454.04705882 0
"177" 1058418.45882353 987502.415686275 696801.05882353 2742721.93333333 22471
"178" 1059528.16470588 987709.419607843 698330.984313726 2745568.56862745 25195
"179" 1059875.34117647 987943.929411765 697543.898039217 2745363.16862745 25137
"180" 1059930.31764706 987859.560784314 697871.447058825 2745661.3254902 22932
"181" 1058814.65098039 987661.125490196 696221.952941177 2742697.72941177 25053
"182" 1059663.58823529 987836.270588236 697412.14509804 2744912.00392157 27200
"183" 1059412.31764706 987346.254901961 695357.364705883 2742115.9372549 31091
"184" 1059921.69803922 987203.48627451 696182.023529412 2743307.20784314 26417
"185" 1058626.98431373 986746.694117647 694564.878431373 2739938.55686275 20945
"186" 1058707.74509804 986058.788235294 694289.282352942 2739055.81568628 25242
"187" 1059424.37647059 985840.156862745 694176.643137256 2739441.17647059 26246
"188" 1058931.95294118 985212.541176471 695478.403921569 2739622.89803922 28652
"189" 1056390.57647059 984254.121568628 693267.501960785 2733912.2 33143
"190" 1056132.57254902 983270.419607843 696086.156862746 2735489.14901961 31249
"191" 1055546.7372549 982841.423529412 695325.043137256 2733713.20392157 28687
"192" 1055271.98431373 982666.545098039 695831.588235295 2733770.11764706 32379
"193" 1054555.9254902 982931.564705883 694616.91764706 2732104.40784314 29383
"194" 1055998.52156863 983516.552941176 695659.800000001 2735174.8745098 32479
"195" 1056155.50980392 983654.596078432 695225.913725491 2735036.01960784 34992
"196" 1056705.83137255 983992.71372549 695668.63137255 2736367.17647059 34992
"197" 1056076.12156863 984191.290196078 694484.250980392 2734751.6627451 33024
"198" 1056937.78039216 984427.062745098 695162.48627451 2736527.32941177 31102
"199" 1058195.52941177 985164.513725491 696608.552941177 2739968.59607843 31093
"200" 1058703.85490196 985478.247058824 697183.407843138 2741365.50980392 31102
"201" 1058167.30980392 985822 695446.984313727 2739436.29411765 31102
"202" 1059342.00392157 986215.407843137 696046.878431373 2741604.29019608 31757
"203" 1059984.31764706 986409.490196078 695933.470588236 2742327.27843137 31198
"204" 1060556.21960784 986882.749019608 695865.89019608 2743304.85882353 31177
"205" 1060337.05490196 987681.870588235 694435.137254903 2742454.0627451 33044
